urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments,X,name,url_location
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Lee Ann and Ken,Chevrolet Bolt EV 2017,"Oct 15, 2022","Oct 15, 2022check_circlecancelaccess_timeinfoLee Ann and Ken solarpowerChevrolet Bolt EV 2017   Volts  Amps 0 Kilowatts Thanks Vachon!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",21 Kilowatts,CCS1,Plaj,Chevrolet Bolt EV 2017,"Oct 8, 2022","Oct 8, 2022check_circlecancelaccess_timeinfoPlaj solarpowerChevrolet Bolt EV 2017 CCS1  Volts  Amps 21 Kilowatts Bosch DCFC rated 24 kW max (65 A max). Working great.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,CCS1,julesibub,BMW i3,"Sep 27, 2022","Sep 27, 2022check_circlecancelaccess_timeinfojulesibub solarpowerBMW i3 CCS1  Volts  Amps  Kilowatts Thank you Vachon Chevy! This level 3 charger is accessible 24/7, fast, and works flawlessly. You’ve made my weekly trips to Danielson feasible.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,CCS1,Deb,Volkswagen ID.4,"Aug 17, 2022","Aug 17, 2022check_circlecancelaccess_timeinfoDeb solarpowerVolkswagen ID.4 CCS1  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,CCS1,Edward,Ford Mustang Mach-E 2021,"Jul 7, 2022","Jul 7, 2022check_circlecancelaccess_timeinfoEdward solarpowerFord Mustang Mach-E 2021 CCS1  Volts  Amps 0 Kilowatts Thanks Vachon(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Karina,Chevrolet Bolt EV 2017,"Sep 26, 2021","Sep 26, 2021check_circlecancelaccess_timeinfoKarina solarpowerChevrolet Bolt EV 2017   Volts  Amps 0 Kilowatts Very slow for a CSS. Telling me it will be 1 hr and 50 min to get from 25% to 80%.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Karina,Chevrolet Bolt EV 2017,"Sep 26, 2021","Sep 26, 2021check_circlecancelaccess_timeinfoKarina solarpowerChevrolet Bolt EV 2017   Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Karina,Chevrolet Bolt EV 2017,"Sep 26, 2021","Sep 26, 2021check_circlecancelaccess_timeinfoKarina solarpowerChevrolet Bolt EV 2017   Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,CCS1,elephant charges car,Chevrolet Bolt EV 2017,"Sep 17, 2021","Sep 17, 2021check_circlecancelaccess_timeinfoelephant charges car solarpowerChevrolet Bolt EV 2017 CCS1  Volts  Amps  Kilowatts Thank you Vachon Chevrolet!!! Greatly appreciated(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,"",Paul Delouchrey,BMW i3,"Sep 1, 2021","Sep 1, 2021check_circlecancelaccess_timeinfoPaul Delouchrey solarpowerBMW i3   Volts  Amps  Kilowatts I’m here charging(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,CCS1,scott,Hyundai Kona Electric 2021,"Aug 29, 2021","Aug 29, 2021check_circlecancelaccess_timeinfoscott solarpowerHyundai Kona Electric 2021 CCS1  Volts  Amps  Kilowatts Charging at 20 kW.  Not super fast.  But its free, and what part of free dont u like?!
We went to the nearby Chinese place to get takeout.  
Thank you, Vachon Chevrolet.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Edward,Ford Mustang Mach-E 2021,"Aug 25, 2021","Aug 25, 2021check_circlecancelaccess_timeinfoEdward solarpowerFord Mustang Mach-E 2021   Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,CCS1,Edward,Ford Mustang Mach-E 2021,"Aug 23, 2021","Aug 23, 2021check_circlecancelaccess_timeinfoEdward solarpowerFord Mustang Mach-E 2021 CCS1  Volts  Amps 0 Kilowatts Area is wide open.  I am charging!  Woo Hoo!
Looks like 20% an hour on my Mach e.  Thanks.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,"",The Wolf of the Lowcountry,Chevrolet Bolt EV 2017,"Aug 17, 2021","Aug 17, 2021check_circlecancelaccess_timeinfoThe Wolf of the Lowcountry solarpowerChevrolet Bolt EV 2017   Volts  Amps  Kilowatts Nice folks. Free. No hassle. Coffee shop and country deli next door.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,"",Michael Canale,Ford Mustang Mach-E 2021,"Aug 14, 2021","Aug 14, 2021check_circlecancelaccess_timeinfoMichael Canale solarpowerFord Mustang Mach-E 2021   Volts  Amps  Kilowatts Worked well!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",22 Kilowatts,CCS1,andydilko,Chevrolet Bolt EV 2017,"Aug 3, 2021","Aug 3, 2021check_circlecancelaccess_timeinfoandydilko solarpowerChevrolet Bolt EV 2017 CCS1  Volts  Amps 22 Kilowatts Did not expect this to work but it gets 22kwh and is free, so I am a happy camper(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",22 Kilowatts,"",Cecilia,Chevrolet Spark EV,"Jul 31, 2021","Jul 31, 2021check_circlecancelaccess_timeinfoCecilia solarpowerChevrolet Spark EV   Volts  Amps 22 Kilowatts Charger was not blocked at 3:50pm on a saturday, charging at 22kw, didn't have to ask anyone, no issues, freeeeeee \o/(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,Blocked By Vehicle,0 Kilowatts,"",Edward,Ford Mustang Mach-E 2021,"Jun 29, 2021","Jun 29, 2021check_circlecancelaccess_timeinfoEdward solarpowerFord Mustang Mach-E 2021Blocked By Vehicle   Volts  Amps 0 Kilowatts I was excited to see Vachon Chevrolet get a hight speed charger.  It's the only one in NE CT.  Unfortunately it's always blocked.  What a waste.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,Blocked By Vehicle,0 Kilowatts,CCS1,Edward,Ford Mustang Mach-E 2021,"Jun 26, 2021","Jun 26, 2021check_circlecancelaccess_timeinfoEdward solarpowerFord Mustang Mach-E 2021Blocked By Vehicle CCS1  Volts  Amps 0 Kilowatts ICEd(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,CCS1,stEVe,Chevrolet Bolt EV 2017,"Jun 26, 2021","Jun 26, 2021check_circlecancelaccess_timeinfostEVe solarpowerChevrolet Bolt EV 2017 CCS1  Volts  Amps  Kilowatts SLOW charging on the CCS. It works, but I only got about 20kW max. Free is nice and much appreciated, but it should not be labeled as a Level 3 unless it will charge fast.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Karina,Chevrolet Bolt EV 2017,"May 24, 2021","May 24, 2021check_circlecancelaccess_timeinfoKarina solarpowerChevrolet Bolt EV 2017   Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",6 Kilowatts,J-1772,Mark,Chevrolet Bolt EV 2020,"Apr 18, 2021","Apr 18, 2021check_circlecancelaccess_timeinfoMark solarpowerChevrolet Bolt EV 2020 J-1772  Volts  Amps 6 Kilowatts Repaired/replaced with new ChargePoint unit, working AOK!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,Broken Hardware, Kilowatts,J-1772,Mark,Chevrolet Bolt EV 2020,"Feb 28, 2021","Feb 28, 2021check_circlecancelaccess_timeinfoMark solarpowerChevrolet Bolt EV 2020Broken Hardware J-1772  Volts  Amps  Kilowatts Connector is damaged and has been for a long time.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",3 Kilowatts,J-1772,joemaplata,Tesla Model 3,"Jun 22, 2019","Jun 22, 2019check_circlecancelaccess_timeinfojoemaplata solarpowerTesla Model 3 J-1772  Volts  Amps 3 Kilowatts 15amp(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,J-1772,Sarah,Chrysler Pacifica Plug-in Hybrid,"Feb 11, 2018","Feb 11, 2018check_circlecancelaccess_timeinfoSarah solarpowerChrysler Pacifica Plug-in Hybrid J-1772  Volts  Amps  Kilowatts Great coffee shop right next door!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",3 Kilowatts,J-1772,Sarah,Chrysler Pacifica Plug-in Hybrid,"Feb 10, 2018","Feb 10, 2018check_circlecancelaccess_timeinfoSarah solarpowerChrysler Pacifica Plug-in Hybrid J-1772 240 Volts 15 Amps 3 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,J-1772,Sarah,Chrysler Pacifica Plug-in Hybrid,"Jan 7, 2018","Jan 7, 2018check_circlecancelaccess_timeinfoSarah solarpowerChrysler Pacifica Plug-in Hybrid J-1772  Volts  Amps  Kilowatts Charging station now on exterior of building.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,J-1772,PlugSharer,"","Jun 6, 2013","Jun 6, 2013check_circlecancelaccess_timeinfoPlugSharer solarpower J-1772  Volts  Amps  Kilowatts The charging station is IN their garage/repair bay so it is somewhat of an inconvenience for them. However the service guy was very friendly and accommodating.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"", Kilowatts,J-1772,PlugSharer,"","Aug 18, 2012","Aug 18, 2012check_circlecancelaccess_timeinfoPlugSharer solarpower J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,mahjong road,Chevrolet Bolt EV 2017,"Jun 20, 2021","Jun 20, 2021check_circlecancelaccess_timeinfomahjong road solarpowerChevrolet Bolt EV 2017 J-1772  Volts  Amps  Kilowatts Charger has been removed so they could power outdoor tent. Don’t know if they have plans to replace it. Owner was brusque when asked(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Dave,Honda Clarity Plug-In Hybrid 2017,"May 13, 2019","May 13, 2019check_circlecancelaccess_timeinfoDave solarpowerHonda Clarity Plug-In Hybrid 2017 J-1772 0 Volts 0 Amps  Kilowatts ICED. Spot gets filled when restaurant is busy.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Bobsvoltage118,Chevrolet Volt Gen2,"May 9, 2017","May 9, 2017check_circlecancelaccess_timeinfoBobsvoltage118 solarpowerChevrolet Volt Gen2 J-1772  Volts  Amps  Kilowatts Had to go inside to ask to use charger. He kindly flipped the switch and i was charging. Just have to hit on button and cord pops out from up top.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Bobsvoltage118,Chevrolet Volt Gen2,"May 9, 2017","May 9, 2017check_circlecancelaccess_timeinfoBobsvoltage118 solarpowerChevrolet Volt Gen2 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Eric Elley,Chevrolet Volt Plug-In Hybrid 2019,"Jul 21, 2015","Jul 21, 2015check_circlecancelaccess_timeinfoEric Elley solarpowerChevrolet Volt Plug-In Hybrid 2019 J-1772  Volts  Amps  Kilowatts Please note this is not a public charger. This charger is intended for those who patronize the restaurant, not for those who intended to shop at the adjacent Enfield Square Mall. The owner has allowed me to charge when I offered to pay in the past. However I will not charge here in the future.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,James F (DC QC Tech),Nissan LEAF 2010,"Feb 17, 2015","Feb 17, 2015check_circlecancelaccess_timeinfoJames F (DC QC Tech) solarpowerNissan LEAF 2010 J-1772 0 Volts 0 Amps  Kilowatts would not let you charge unless you eat in restaurant.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,PlugSharer,"","Oct 27, 2014","Oct 27, 2014check_circlecancelaccess_timeinfoPlugSharer solarpower J-1772 0 Volts 0 Amps  Kilowatts Owner disconnected and threatened to tow my car. 
They never told me I had to go into there restaurant and eat.
They improperly closed my charging lid.
The water protector was not closed before closing the lid and they snapped it.

In CT disconnecting a charger from another persons car while it's charging without their permission is considered damaged to personal property and is punishable by law.

Owner paid for Damages rather than Pressing Charges for this and having them arrested.

Even if a person Parks there car in the Middle of your front lawn you cannot move it yourself. You have to have an officer approve the towing and have a licensed professional move it.
If you damage it You are responsible not the Owner who parked on your property. They would still have to pay to fix your yard.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Paul,Tesla Model S,"Oct 17, 2014","Oct 17, 2014check_circlecancelaccess_timeinfoPaul solarpowerTesla Model S J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Marilyn,Honda Fit EV,"Aug 11, 2014","Aug 11, 2014check_circlecancelaccess_timeinfoMarilyn solarpowerHonda Fit EV J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Marty,Nissan LEAF 2010,"Jul 4, 2014","Jul 4, 2014check_circlecancelaccess_timeinfoMarty solarpowerNissan LEAF 2010 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,PlugSharer,"","Sep 13, 2013","Sep 13, 2013check_circlecancelaccess_timeinfoPlugSharer solarpower J-1772  Volts  Amps  Kilowatts nice people stopped for lunch charged for two hours very good food they have been here for 30 years
david(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,WarPig,"","Apr 29, 2013","Apr 29, 2013check_circlecancelaccess_timeinfoWarPig solarpower J-1772  Volts  Amps  Kilowatts Very convenient and food was good. Manager was helpful with the access card to start the charger.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,Dana,"","Apr 29, 2013","Apr 29, 2013check_circlecancelaccess_timeinfoDana solarpower J-1772  Volts  Amps  Kilowatts Very convenient, nice owner, good food.  You must go inside for an access card.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,josg21,"","Mar 22, 2013","Mar 22, 2013check_circlecancelaccess_timeinfojosg21 solarpower J-1772  Volts  Amps  Kilowatts Very nice place, recommended(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,PlugSharer,"","Oct 15, 2012","Oct 15, 2012check_circlecancelaccess_timeinfoPlugSharer solarpower J-1772  Volts  Amps  Kilowatts Very cool level 2 charger from local company (just down road) - great food and service - check it out! B-)(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,ctguille,"","Oct 5, 2012","Oct 5, 2012check_circlecancelaccess_timeinfoctguille solarpower J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10625,"", Kilowatts,J-1772,PlugSharer,"","Mar 10, 2012","Mar 10, 2012check_circlecancelaccess_timeinfoPlugSharer solarpower J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3748,"Figaro Ristorante | Enfield, CT | EV Station",https://www.plugshare.com/location/10625
https://www.plugshare.com/location/10652,"", Kilowatts,CCS1,Yazfreidy,Kia Niro EV 2024,"Oct 27, 2024","Oct 27, 2024check_circlecancelaccess_timeinfoYazfreidy solarpowerKia Niro EV 2024 CCS1  Volts  Amps  Kilowatts No(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3971,"Bruce Bennett Nissan | Wilton, CT | EV Station",https://www.plugshare.com/location/10652
https://www.plugshare.com/location/10652,"", Kilowatts,CCS1,Colin Cogle,Chevrolet Bolt EV 2019,"Aug 18, 2024","Aug 18, 2024check_circlecancelaccess_timeinfoColin Cogle solarpowerChevrolet Bolt EV 2019 CCS1  Volts  Amps  Kilowatts No longer open to the public.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3971,"Bruce Bennett Nissan | Wilton, CT | EV Station",https://www.plugshare.com/location/10652
https://www.plugshare.com/location/10652,"", Kilowatts,CCS1,Alex Yuknat,Chevrolet Spark EV,"Jul 19, 2024","Jul 19, 2024check_circlecancelaccess_timeinfoAlex Yuknat solarpowerChevrolet Spark EV CCS1  Volts  Amps  Kilowatts No longer public, needs a code to activate and none of the staff has access to.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3971,"Bruce Bennett Nissan | Wilton, CT | EV Station",https://www.plugshare.com/location/10652
https://www.plugshare.com/location/10652,"", Kilowatts,CCS1,Stuart Ungar,Chevrolet Bolt EV 2023,"May 25, 2024","May 25, 2024check_circlecancelaccess_timeinfoStuart Ungar solarpowerChevrolet Bolt EV 2023 CCS1  Volts  Amps  Kilowatts Appreciate the charge!  Really helped us on our trip!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3971,"Bruce Bennett Nissan | Wilton, CT | EV Station",https://www.plugshare.com/location/10652
https://www.plugshare.com/location/10652,"", Kilowatts,CCS1,Stuart Ungar,Chevrolet Bolt EV 2023,"May 25, 2024","May 25, 2024check_circlecancelaccess_timeinfoStuart Ungar solarpowerChevrolet Bolt EV 2023 CCS1  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",3971,"Bruce Bennett Nissan | Wilton, CT | EV Station",https://www.plugshare.com/location/10652
